seq,#,Group,Group Label,Block,Block Label,Stage,Stage Label,Source,Status,Rows,Phase,Note,Description,Loop в†’,Bid: excavation,Work: excavation,Fallback: excavation,Bid: Last Minute: excavation,Bid: shoring,Work: shoring,Fallback: shoring,Bid: Last Minute: shoring,Bid: demolition,Work: demolition,Fallback: demolition,Bid: Last Minute: demolition,Bid: temporary-fencing,Work: temporary-fencing,Fallback: temporary-fencing,Bid: Last Minute: temporary-fencing,Bid: concrete,Work: concrete,Fallback: concrete,Bid: Last Minute: concrete,Bid: waterproofing,Work: waterproofing,Fallback: waterproofing,Bid: Last Minute: waterproofing,Bid: framing,Work: framing,Fallback: framing,Bid: Last Minute: framing,Bid: structural-steel,Work: structural-steel,Fallback: structural-steel,Bid: Last Minute: structural-steel,Bid: masonry,Work: masonry,Fallback: masonry,Bid: Last Minute: masonry,Bid: elevator,Work: elevator,Fallback: elevator,Bid: Last Minute: elevator,Bid: plumbing,Work: plumbing,Fallback: plumbing,Bid: Last Minute: plumbing,Bid: hvac,Work: hvac,Fallback: hvac,Bid: Last Minute: hvac,Bid: electrical,Work: electrical,Fallback: electrical,Bid: Last Minute: electrical,Bid: drain-plumbing,Work: drain-plumbing,Fallback: drain-plumbing,Bid: Last Minute: drain-plumbing,Bid: fire-protection,Work: fire-protection,Fallback: fire-protection,Bid: Last Minute: fire-protection,Bid: roofing,Work: roofing,Fallback: roofing,Bid: Last Minute: roofing,Bid: insulation,Work: insulation,Fallback: insulation,Bid: Last Minute: insulation,Bid: glazing,Work: glazing,Fallback: glazing,Bid: Last Minute: glazing,Bid: windows,Work: windows,Fallback: windows,Bid: Last Minute: windows,Bid: drywall,Work: drywall,Fallback: drywall,Bid: Last Minute: drywall,Bid: painting,Work: painting,Fallback: painting,Bid: Last Minute: painting,Bid: flooring,Work: flooring,Fallback: flooring,Bid: Last Minute: flooring,Bid: tiling,Work: tiling,Fallback: tiling,Bid: Last Minute: tiling,Bid: trim-work,Work: trim-work,Fallback: trim-work,Bid: Last Minute: trim-work,Bid: millwork-cabinetry,Work: millwork-cabinetry,Fallback: millwork-cabinetry,Bid: Last Minute: millwork-cabinetry,Bid: stone-countertops,Work: stone-countertops,Fallback: stone-countertops,Bid: Last Minute: stone-countertops,Bid: security,Work: security,Fallback: security,Bid: Last Minute: security,Bid: eavestrough-siding,Work: eavestrough-siding,Fallback: eavestrough-siding,Bid: Last Minute: eavestrough-siding,Bid: caulking,Work: caulking,Fallback: caulking,Bid: Last Minute: caulking,Bid: solar,Work: solar,Fallback: solar,Bid: Last Minute: solar,Bid: landscaping,Work: landscaping,Fallback: landscaping,Bid: Last Minute: landscaping,Bid: paving,Work: paving,Fallback: paving,Bid: Last Minute: paving,Bid: decking-fences,Work: decking-fences,Fallback: decking-fences,Bid: Last Minute: decking-fences,Bid: decks,Work: decks,Fallback: decks,Bid: Last Minute: decks,Bid: back-yard-fences,Work: back-yard-fences,Fallback: back-yard-fences,Bid: Last Minute: back-yard-fences,Bid: outdoor-patio,Work: outdoor-patio,Fallback: outdoor-patio,Bid: Last Minute: outdoor-patio,Bid: pool-installation,Work: pool-installation,Fallback: pool-installation,Bid: Last Minute: pool-installation,Bid: realtor,Work: realtor,Fallback: realtor,Bid: Last Minute: realtor,Group Color,Group Icon,Block Color,Block Icon,Stage Color,Stage Icon
78,102,I1,Site Prep & Foundations,B1.A,Site Prep,c,Demolition,insp.stage,Demolition,"1,012",P9,matches `demolition`,Demolition inspection,в†© same stage if Not Passed,,,,,,,,,,вњ“,,,,,,,,,,вњ“,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#FEF3C7,рџЄЁ,#FEF3C7,рџЄЁ,#FEF3C7,рџЄЁ
79,103,I1,Site Prep & Foundations,B1.B,Foundations,a,Footings/Foundations,insp.stage,Footings/Foundations,"7,600",P10,matches `footings`,Footings and foundations inspection,в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,вњ“,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#FEF3C7,рџЄЁ,#FEF3C7,рџЄЁ,#FEF3C7,рџЄЁ
80,104,I1,Site Prep & Foundations,B1.B,Foundations,b,Foundation,insp.stage,Foundation,2,P10,matches `=== 'foundation'` (exact equality),Foundation inspection (low-count variant),в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,вњ“,,,,вњ“,,,,,,вњ“,,,,вњ“,,,,вњ“,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#FEF3C7,рџЄЁ,#FEF3C7,рџЄЁ,#FEF3C7,рџЄЁ
81,105,I2,Structural & MEP,B2.A,Framing,a,Structural Framing,insp.stage,Structural Framing,"9,592",P11,matches `structural framing`,"Structural framing inspection вЂ” house is now a ""box""",в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,вњ“,,,,вњ“,,,,вњ“,,,,,,,,,,вњ“,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#E0F2FE,рџ”§,#E0F2FE,рџ”§,#E0F2FE,рџ”§
82,106,I2,Structural & MEP,B2.B,MEP Rough-in,a,HVAC Rough-in,insp.stage,HVAC/Extraction Rough-in,883,P12,matches `hvac`,HVAC rough-in inspection,в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,вњ“,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#E0F2FE,рџ”§,#E0F2FE,рџ”§,#E0F2FE,рџ”§
83,107,I2,Structural & MEP,B2.B,MEP Rough-in,b,Water Service,insp.stage,Water Service,888,P12,matches `water service`,Water service inspection,в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#E0F2FE,рџ”§,#E0F2FE,рџ”§,#E0F2FE,рџ”§
84,108,I2,Structural & MEP,B2.B,MEP Rough-in,c,Water Distribution,insp.stage,Water Distribution,911,P12,matches `water distribution`,Water distribution inspection,в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,,,,,,,,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#E0F2FE,рџ”§,#E0F2FE,рџ”§,#E0F2FE,рџ”§
85,109,I2,Structural & MEP,B2.B,MEP Rough-in,d,Drain/Waste/Vents,insp.stage,Drain/Waste/Vents,910,P12,matches `drain`,Drainage and venting inspection,в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,,,,,,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#E0F2FE,рџ”§,#E0F2FE,рџ”§,#E0F2FE,рџ”§
86,110,I2,Structural & MEP,B2.B,MEP Rough-in,e,Sewers/Drains/Sewage,insp.stage,Sewers/Drains/Sewage System,890,P12,matches `drain` first (same P12 output as `sewers`),Sewer/drainage system inspection,в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,,,,,,,,,вњ“,,,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#E0F2FE,рџ”§,#E0F2FE,рџ”§,#E0F2FE,рџ”§
87,111,I2,Structural & MEP,B2.B,MEP Rough-in,f,Fire Service,insp.stage,Fire Service,889,P12,matches `fire service`,Fire service piping inspection,в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#E0F2FE,рџ”§,#E0F2FE,рџ”§,#E0F2FE,рџ”§
88,112,I2,Structural & MEP,B2.B,MEP Rough-in,g,Fire Access Routes,insp.stage,Fire Access Routes,"2,277",P12,matches `fire access`,Fire access route inspection,в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#E0F2FE,рџ”§,#E0F2FE,рџ”§,#E0F2FE,рџ”§
89,113,I2,Structural & MEP,B2.B,MEP Rough-in,h,Fire Protection Systems,insp.stage,Fire Protection Systems,"5,969",P12,matches `fire protection`,Fire protection system inspection,в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,,,,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#E0F2FE,рџ”§,#E0F2FE,рџ”§,#E0F2FE,рџ”§
90,114,I3,Enclosure & Finishes,B3.A,Insulation,a,Insulation/Vapour Barrier,insp.stage,Insulation/Vapour Barrier,"8,775",P13,matches `insulation`,Insulation and vapour barrier inspection вЂ” house is sealed,в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#D1FAE5,рџЋЁ,#D1FAE5,рџЋЁ,#D1FAE5,рџЋЁ
91,115,I3,Enclosure & Finishes,B3.A,Insulation,b,Insulation,insp.stage,Insulation,1,P13,matches `insulation`,Insulation inspection (low-count variant),в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#D1FAE5,рџЋЁ,#D1FAE5,рџЋЁ,#D1FAE5,рџЋЁ
92,116,I3,Enclosure & Finishes,B3.A,Insulation,c,Insulation & AirBarrier,insp.stage,Insulation & Vapour/AirBarrier Passed on,1,P13,matches `insulation`,Insulation/air barrier inspection (data-quality variant),в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#D1FAE5,рџЋЁ,#D1FAE5,рџЋЁ,#D1FAE5,рџЋЁ
93,117,I3,Enclosure & Finishes,B3.B,Fire Sep,a,Fire Separations,insp.stage,Fire Separations,"7,035",P14,matches `fire separations`,Fire separations inspection вЂ” drywall anchor,в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,,,вњ“,,,,вњ“,,,,вњ“,,,,вњ“,,,,вњ“,,,,вњ“,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#D1FAE5,рџЋЁ,#D1FAE5,рџЋЁ,#D1FAE5,рџЋЁ
94,118,I3,Enclosure & Finishes,B3.C,Interior Finals,a,Interior Final,insp.stage,Interior Final Inspection,"6,462",P15,matches `interior final`,Interior finals inspection,в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,вњ“,,,,вњ“,,,,вњ“,,,,вњ“,,,,вњ“,,,,вњ“,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#D1FAE5,рџЋЁ,#D1FAE5,рџЋЁ,#D1FAE5,рџЋЁ
95,119,I3,Enclosure & Finishes,B3.C,Interior Finals,b,Plumbing Final,insp.stage,Plumbing Final,914,P15,matches `plumbing final`,Plumbing final inspection,в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#D1FAE5,рџЋЁ,#D1FAE5,рџЋЁ,#D1FAE5,рџЋЁ
96,120,I3,Enclosure & Finishes,B3.C,Interior Finals,c,HVAC Final,insp.stage,HVAC Final,883,P15,matches `hvac final`,HVAC final inspection,в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,,,,,,,,,,,,,,,вњ“,,,,,,,,вњ“,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,вњ“,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#D1FAE5,рџЋЁ,#D1FAE5,рџЋЁ,#D1FAE5,рџЋЁ
97,121,I3,Enclosure & Finishes,B3.D,Exterior Finals,a,Exterior Final,insp.stage,Exterior Final Inspection,"7,432",P16,matches `exterior final`,"Exterior finals inspection (cladding, grading)",в†© same stage if Not Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,,,,,вњ“,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,вњ“,,,,вњ“,,,,,,вњ“,,,,вњ“,,,,вњ“,,,,вњ“,,,,вњ“,,,,вњ“,,,,,вњ“,,,,#D1FAE5,рџЋЁ,#D1FAE5,рџЋЁ,#D1FAE5,рџЋЁ
98,122,I4,Final / Specialty,B4.A,Project Final,a,Occupancy,insp.stage,Occupancy,"8,965",P17,matches `occupancy`,Occupancy granted,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,вњ“,,,,вњ“,,,,вњ“,,,,вњ“,,,,вњ“,,,,,,,вњ“,,,вњ“,#FEF3C7,рџЏ†,#FEF3C7,рџЏ†,#DCFCE7,вњ…
99,123,I4,Final / Specialty,B4.A,Project Final,b,Final Inspection,insp.stage,Final Inspection,"1,060",P17,matches `final inspection`,Project final inspection,(terminal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,вњ“,,,,#FEF3C7,рџЏ†,#FEF3C7,рџЏ†,#DCFCE7,вњ…
100,124,I4,Final / Specialty,B4.B,Specialty,a,Pool Suction/Gravity,insp.stage,Pool Suction/Gravity Outlets,"2,232",UNMAPPEDв†’P17 fallback,No substring match,"Pool inspection вЂ” specialty, no В§3 phase target",вЂ”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,вњ“,,,,#FEF3C7,рџЏ†,#FEF3C7,рџЏ†,#E5E7EB,рџђ›
101,125,I4,Final / Specialty,B4.B,Specialty,b,Pool Circulation,insp.stage,Pool Circulation System,"2,232",UNMAPPEDв†’P17 fallback,No substring match,Pool inspection вЂ” specialty,вЂ”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,вњ“,,,,#FEF3C7,рџЏ†,#FEF3C7,рџЏ†,#E5E7EB,рџђ›
102,126,I4,Final / Specialty,B4.B,Specialty,c,Repair/Retrofit,insp.stage,Repair/Retrofit,"1,132",UNMAPPEDв†’P17 fallback,No substring match,Repair / retrofit inspection вЂ” specialty,вЂ”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#FEF3C7,рџЏ†,#FEF3C7,рџЏ†,#E5E7EB,рџђ›
103,127,I4,Final / Specialty,B4.B,Specialty,d,Change of Use,insp.stage,Change of Use,"1,017",UNMAPPEDв†’P17 fallback,No substring match,Change-of-use inspection вЂ” specialty,вЂ”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#FEF3C7,рџЏ†,#FEF3C7,рџЏ†,#E5E7EB,рџђ›
104,128,I4,Final / Specialty,B4.B,Specialty,e,System,insp.stage,System,"1,010",UNMAPPEDв†’P17 fallback,No substring match,"Generic ""System"" inspection вЂ” specialty",вЂ”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#FEF3C7,рџЏ†,#FEF3C7,рџЏ†,#E5E7EB,рџђ›
105,129,I4,Final / Specialty,B4.B,Specialty,f,Security Device,insp.stage,Security Device,"1,006",UNMAPPEDв†’P17 fallback,No substring match,Security device inspection вЂ” specialty,вЂ”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#FEF3C7,рџЏ†,#FEF3C7,рџЏ†,#E5E7EB,рџђ›
106,130,I4,Final / Specialty,B4.B,Specialty,g,Tent/Portable Classroom,insp.stage,Tent/Portable Classroom,"1,005",UNMAPPEDв†’P17 fallback,No substring match,Tent / portable classroom inspection вЂ” specialty,вЂ”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#FEF3C7,рџЏ†,#FEF3C7,рџЏ†,#E5E7EB,рџђ›
107,131,I4,Final / Specialty,B4.C,Data-Quality Outliers,a,Final Interior,insp.stage,Final Interior,1,UNMAPPEDв†’P17 fallback,Word-order issue вЂ” likely meant `interior final` (P15),Data-quality outlier (single row),вЂ”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#FEF3C7,рџЏ†,#FEF3C7,рџЏ†,#E5E7EB,рџђ›
108,132,I4,Final / Specialty,B4.C,Data-Quality Outliers,b,HVAC Permit?,insp.stage,HVAC Permit?,1,P12,Matches `hvac`; `?` flags data-quality,"Data-quality outlier (single row, source-side question mark)",вЂ”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#FEF3C7,рџЏ†,#FEF3C7,рџЏ†,#E5E7EB,рџђ›
109,133,I4,Final / Specialty,B4.C,Data-Quality Outliers,c,Survey,insp.stage,Survey,1,UNMAPPEDв†’P17 fallback,"Likely admin survey, not a construction phase",Data-quality outlier (single row),вЂ”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#FEF3C7,рџЏ†,#FEF3C7,рџЏ†,#E5E7EB,рџђ›
110,134,I4,Final / Specialty,B4.C,Data-Quality Outliers,d,Survey Submitted?,insp.stage,Survey Submitted?,1,UNMAPPEDв†’P17 fallback,Same as #133,"Data-quality outlier (single row, source-side question mark)",вЂ”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,вњ“,,,,#FEF3C7,рџЏ†,#FEF3C7,рџЏ†,#E5E7EB,рџђ›